sample_id	MEND	Gene	Expression	Type	Threshold	effective_length
TH01_0069_S01	18836783.99	MGST3	4.63923216325	Down	5.11034870148	671.45
TH01_0069_S01	18836783.99	DCTN3	3.21567859661	Down	4.49474430084	636.81
TH03_0148_S01	17333142.06	OMG	4.94110631095	Up	2.27409815788	678.37
TH01_0069_S01	18836783.99	YY1AP1	3.66789212523	Down	3.76425075531	889.9
TH03_0019_S01	16860989.6	ALYREF	3.79908730607	Down	3.85673761368	853.15
TH01_0069_S01	18836783.99	RABAC1	3.00898878323	Down	4.94434309006	648.56
TH01_0069_S01	18836783.99	ARF5	3.10433665981	Down	5.80003547668	825.26
TH03_0004_S03	17986551.18	LINC01420	3.17951105027	Down	3.32557725906	759.98
TH03_0148_S01	17333142.06	GKN2	3.59693514239	Up	0.106960088015	676.56
TH03_0029_S01	17607899.54	TEX41	3.66448284036	Up	3.08808636665	717.3
TH01_0069_S01	18836783.99	DCXR	3.05137210172	Down	3.9219865799	620.76
TH03_0004_S03	17986551.18	RP11-798K3.2	4.88362081629	Up	0.441114872694	616.11
TH01_0069_S01	18836783.99	CYBA	3.16349873228	Down	3.65439867973	618.64
TH01_0069_S01	18836783.99	PARK7	3.40053792958	Down	6.46849775314	690.54
TH03_0019_S01	16860989.6	TCN1	4.60940039001	Up	4.40236663818	1139.84
TH03_0014_S01	18738948.915	RP11-555G19.2	4.49569516262	Up	0	935.31
TH01_0069_S01	18836783.99	CLIC1	4.48542682717	Down	6.47017097473	1039.97
TH01_0069_S01	18836783.99	CD81	3.94204525992	Down	6.68319320679	1099.37
TH03_0004_S03	17986551.18	ZDHHC4	3.82273014794	Down	3.83247351646	1122.58
TH01_0069_S01	18836783.99	LDHB	4.42894634477	Down	4.71233701706	1123.47
TH01_0069_S01	18836783.99	RAB11A	3.67129337248	Down	5.4149980545	1013.89
TH01_0069_S01	18836783.99	NDUFA10	3.19534759832	Down	4.95943927765	1164.97
TH01_0069_S01	18836783.99	SCAMP3	3.14730669878	Down	4.74027252197	1199.01
TH03_0148_S01	17333142.06	FABP7	3.36317107712	Up	2.44561886787	901.99
TH03_0004_S03	17986551.18	UBE2F	3.60288440872	Down	3.90993356705	912.72
TH03_0022_S01	19155446.695	POMC	3.06177619759	Up	2.87312078476	911.82
TH01_0069_S01	18836783.99	HMGN1	3.75595576955	Down	5.35095024109	1168.29
TH03_0148_S01	17333142.06	CD1C	4.26378561389	Up	3.64418411255	1188.6
TH03_0029_S01	17607899.54	KLK4	4.92314918047	Up	2.34730315208	985.55
TH01_0069_S01	18836783.99	EIF3H	4.70708299177	Down	6.4057803154	1067.09
TH01_0069_S01	18836783.99	DAZAP2	3.08576455378	Down	5.84981966019	1027.43
TH01_0069_S01	18836783.99	STUB1	3.03210084317	Down	4.80901575089	950.16
TH03_0014_S01	18738948.915	SPESP1	4.57954222494	Up	3.78253793716	903.35
TH03_0022_S01	19155446.695	COX16	3.92504996473	Down	3.99532580376	1167.88
TH03_0004_S03	17986551.18	PLA2G12B	4.99004721957	Up	0.344080448151	967.94
TH01_0069_S01	18836783.99	ASNA1	3.0285691522	Down	4.5110707283	1103.74
TH01_0069_S01	18836783.99	ANP32A	3.50842865253	Down	4.7713265419	1135.79
TH01_0069_S01	18836783.99	PRMT1	3.68706068834	Down	5.12546014786	1138.51
TH03_0148_S01	17333142.06	RNF7	4.55642941545	Down	4.88630104065	933.71
TH03_0014_S01	18738948.915	GDAP1L1	4.07382023329	Up	1.01275897026	907.68
TH01_0069_S01	18836783.99	ATP6V1E1	3.21878116778	Down	5.01768732071	1179.65
TH01_0069_S01	18836783.99	ANXA2	4.25398926623	Down	4.82539463043	1189.54
TH03_0004_S03	17986551.18	GLYAT	4.64846544303	Up	0.277578264475	1045.72
TH03_0022_S01	19155446.695	NTF3	3.38266725275	Up	2.4723045826	963.57
TH03_0022_S01	19155446.695	CPNE1	4.76871365703	Down	4.8435382843	953.06
TH01_0069_S01	18836783.99	PSMC3	3.42357817098	Down	5.35496997833	1103.77
TH01_0069_S01	18836783.99	NELFE	3.45680614923	Down	4.78734302521	1060
TH01_0069_S01	18836783.99	ERH	3.06177619759	Down	5.22088766098	952.88
TH01_0069_S01	18836783.99	RBM4	3.53231695933	Down	5.02644968033	1149.87
TH01_0069_S01	18836783.99	APOA1BP	4.58796498888	Down	4.75528240204	932.87
TH03_0019_S01	16860989.6	ECEL1	3.08236196956	Up	2.58789992332	1171.08
TH03_0004_S03	17986551.18	ARPC5L	3.64154602909	Down	3.65268087387	1187.04
TH03_0029_S01	17607899.54	TKFC	3.16832111574	Down	3.37457823753	1020.44
TH03_0029_S01	17607899.54	IGSF21	4.64154602909	Up	4.61898374557	1198.72
TH01_0069_S01	18836783.99	PRELID1	3.20945336563	Down	5.53235626221	1071.41
TH01_0069_S01	18836783.99	SAP18	3.93357263826	Down	5.62794208527	980.96
TH03_0019_S01	16860989.6	GSTA2	3.84999925947	Up	1.02883481979	1160.93
